"52.300278,-6.45881"
"53.347636,-6.285234"
"53.6477,-6.67673"
"51.744232,-8.739839"
"51.620831,-8.88957"
"53.963924,-6.364996"
"53.202217,-6.107886"
"53.203109,-6.0982"
"54.422202,-6.44002"
"51.872405,-8.470652"
"53.923999,-6.411078"
"53.3145,-6.39389"
"54.19175,-6.350628"
"54.951508,-7.734554"
"53.336699,-6.252228"
"53.325515,-6.252422"
"52.395284,-6.943578"
"53.854221,-9.305581"
"53.353218,-6.264812"
"53.394993,-7.719377"
"54.850413,-5.818398"
"53.328467,-8.184483"
"52.741566,-8.775394"
"53.310296,-6.195844"
"54.73014,-6.2305"
"54.652793,-5.800031"
"53.941292,-8.10011"
"54.730728,-6.232485"
"51.553906,-9.262478"
"53.369052,-6.276341"
"53.2881,-9.048"
"52.260883,-9.714192"
"52.270976,-9.699875"
"53.943937,-8.098735"
"54.003329,-6.397354"
"53.558067,-6.789353"
"53.978095,-6.719502"
"52.163684,-7.15972"
"52.50341,-6.57359"
"54.5045,-6.027934"
"54.472437,-7.630603"
"53.295343,-6.203373"
"53.4135,-6.8813"
"52.946645,-7.796595"
"53.3708,-6.28074"
"52.836332,-6.933468"
"55.136934,-8.103403"
"54.860083,-6.277401"
"52.83078,-8.979003"
"53.667639,-8.955524"
"54.676914,-7.352932"
"52.837679,-6.933489"
"52.854144,-9.398487"
"52.6597,-8.6276"
"53.860912,-6.542098"
"53.655729,-6.687417"
"52.088374,-7.620327"
"53.527025,-7.336114"
"52.337957,-6.460155"
"53.198448,-6.09546"
"52.981196,-6.044072"
"54.62047,-6.2147"
"54.869939,-6.27494"
"54.4207,-6.4464"
"54.177068,-6.341665"
"54.4921,-6.06013"
"53.330623,-8.225283"
"54.331,-5.7139"
"54.000122,-6.412418"
"54.717053,-5.810334"
"54.0987,-6.2534"
"54.385592,-7.639049"
"52.526499,-7.135967"
"54.74636,-6.234244"
"55.133625,-6.663814"
"51.919755,-8.482733"
"54.833245,-7.48663"
"54.547852,-5.938419"
"53.3344,-6.24871"
"52.91297,-7.346601"
"52.337426,-6.46209"
"55.200932,-6.253492"
"54.396759,-5.758739"
"54.345051,-7.640047"
"51.814197,-8.389447"
"53.343358,-7.048445"
"53.4112,-6.8766"
"54.2636,-6.9592"
"54.853932,-6.275528"
"53.762046,-8.765583"
"52.509038,-7.872552"
"54.846012,-5.807106"
"51.681417,-9.456825"
"54.246923,-6.964533"
"53.578784,-6.104879"
"52.152969,-6.994926"
"53.066582,-8.814919"
"52.883989,-7.944274"
"53.3582,-6.2672"
"52.107344,-9.786073"
"51.650662,-9.910673"
"54.512094,-6.763396"
"53.322343,-6.238683"
"54.273682,-8.480708"
"54.343512,-7.637848"
"54.614937,-8.089765"
"54.968494,-5.950874"
"54.512866,-7.458019"
"52.708176,-8.877285"
"52.258851,-7.108709"
"54.34741,-7.640307"
"54.11569,-9.149715"
"52.139518,-10.278791"
"55.20941,-6.65513"
"53.630905,-8.188676"
"54.529472,-5.893496"
"52.255957,-7.111051"
"52.644754,-6.227539"
"53.728958,-6.88217"
"54.85092,-5.824385"
"54.37075,-5.554131"
"53.902067,-8.584513"
"53.900165,-8.583955"
"53.270244,-7.499381"
"54.347077,-6.269575"
"52.928911,-9.346292"
"52.542453,-7.392293"
"54.445926,-6.364334"
"54.749279,-6.44828"
"53.62904,-8.18817"
"53.275635,-7.490152"
"54.118976,-6.734236"
"54.797965,-7.783045"
"52.712314,-8.875546"
"55.052944,-6.951432"
"53.347085,-6.23198"
"53.31948,-6.315448"
"54.647087,-6.747203"
"55.135935,-7.452539"
"54.3821,-5.5476"
"53.562243,-7.763038"
"53.622633,-9.221264"
"53.722118,-8.996996"
"54.950297,-8.362137"
"55.049487,-6.953681"
"52.348698,-7.409999"
"55.071775,-6.519416"
"54.826859,-7.46552"
"54.705215,-6.089323"
"53.917571,-6.972487"
"52.6555,-6.6516"
"53.633039,-8.18993"
"54.696594,-5.951624"
"54.712504,-6.218678"
"53.323004,-6.523586"
"54.877617,-6.346985"
"54.328887,-8.501889"
"53.730848,-7.801621"
"52.353337,-7.703744"
"54.496159,-6.384416"
